,Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI
count,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
mean,2001.5,5.973809907,0.40624581455785674,0.6767203575412845,0.4413505316206104,0.44518716577540113,0.26484890829635227,0.26196170486419407,0.2574668373735429,0.44198078344419806,0.45016031814970314,0.6800032345594711,0.43383838383838397,0.4821322589155794,0.7365833110127312,0.24450422306621034,0.1775191715876818,0.7455639341638935,0.6353646353646348
std,12.84523257866513,2.635598113571732,0.2852594682958493,0.2274625517891979,0.28922920140126646,0.23704859107721352,0.3077380441688377,0.30696671323238006,0.30174583081715395,0.25519392030575844,0.3693978857260384,0.42031511716562214,0.3178082248203786,0.2719486438208061,0.3131091108918195,0.19723692258537093,0.25627820794378253,0.29708381304854653,0.21320700302056533
min,1980.0,-5.777724707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1990.75,4.7701171805,0.15269598975227341,0.5611303476053131,0.18156838821142124,0.2556561085972851,0.01487976655156735,0.011392170914953974,0.0036750627074587754,0.26219512195121947,0.10678122288122895,0.20339988139948606,0.14444444444444435,0.2992107773602245,0.5020574407861175,0.1693696873495501,0.0087240210297181,0.5814221069552685,0.5796703296703294
50%,2001.5,6.419978873,0.3596154918605686,0.6919101379255637,0.48088571679838815,0.471342383107089,0.0726145347413141,0.0629987750700199,0.0683595866166794,0.5040650406504065,0.2820631635079113,0.9513737892864202,0.3925925925925928,0.5069341504312552,0.9475985090641366,0.1693696873495501,0.02072072284690875,0.7610660949067025,0.7362637362637354
75%,2012.25,7.86075831525,0.596234160422306,0.8555519129693545,0.6270637125848375,0.5927601809954751,0.5600716206452346,0.5348847889842806,0.5410807651615643,0.6056910569105691,0.8715283616051647,0.959428740857877,0.7111111111111108,0.6843018632019319,0.9650214380098815,0.17157240542676908,0.2546667070292039,1.0,0.7362637362637354
max,2023.0,9.689592492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
