Year,GDP Growth (%) (ARIMA),GDP Growth (%) (XGBoost),GDP Growth (%) (Hybrid)
2024,4.915050426384324,8.150173,6.532611806820092
2025,3.2843313984259273,6.4078565,4.846093931405957
2026,2.6988224856177774,3.7325995,3.215710991229604
2027,6.579082852834674,7.14825,6.86366647791575
2028,6.2331585892191725,1.7817316,4.007445097374479
