Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI
1980,6.735821529,11.34607348,4.476508261,7.862944701,5.55,11439738400,17226125073,79159999.9,19.5,20.54345895,2.8,72.3,19.67624017,-5786386673,,,,
1981,6.006203626,13.1125469,5.118236741,8.658522817,5.7,11485699151,16584605960,91920000,16.7,21.22546245,2.8,71.8,19.86725387,-5098906809,,,,
1982,3.47573324,7.890742794,7.774707244,9.455131933,6.1,12009417677,16343526469,72079999.9,14.2,22.68789892,2.8,71.5,21.01451313,-4334108792,,,,
1983,7.288892903,11.8680813,7.320986685,10.09889824,6.5,12741335281,17140048793,5639999.9,17.4,22.89266876,2.8,71.2,20.56906776,-4398713512,,,,
1984,3.820737856,8.318907119,7.94709992,11.36258333,7,13330716432,16391245675,19239999.9,17,24.28257464,2.8,70.9,20.85042847,-3060529243,,,,
1985,5.254299223,5.556424232,8.681673585,12.36875,7.5,12217447522,17776627208,106090000,16.2,24.56366516,2.8,70.5,21.80329777,-5559179686,,,,
1986,4.776564168,8.729720727,9.093224145,12.61083333,8.13,12937864154,17486411450,117730000,16.4,25.8010011,2.8,70.1,22.90091499,-4548547296,,,,
1987,3.965355635,8.801125813,6.560180094,12.9615,7.8,15638662914,19477194741,212319999.9,16.7,25.38235951,2.8,69.8,24.44362326,-3838531827,,,,
1988,9.627782916,9.383471862,7.638632996,13.91708333,7.5,17899838409,22111443193,91250000,18,25.27511744,2.8,69.4,23.57197889,-4211604784,,,,
1989,5.947343332,7.074280029,7.435843248,16.2255,7.3,20770696112,24133353522,252099999.9,19.4,26.58981401,2.8,69,24.57681356,-3362657410,,,,
1990,5.533454561,8.971232503,5.269526998,17.5035,7.61,22639774912,27132072318,6000000,17,24.91645657,2.8,68.7,26.08217017,-4492297406,,,,
1991,1.056831435,13.87024618,3.624716596,22.74243333,5.91,22943398073,22941358805,73537638.39,18.4,23.82174445,7.722,68.3,24.58433379,2039268.147,,,,
1992,5.48239602,11.78781704,9.132749406,25.91808333,5.39,25486029047,27639649994,276512439,18,24.69824025,7.733,67.9,25.08949989,-2153620947,,,,
1993,4.750776218,6.326890488,5.814776512,30.49329167,6.77,27466541463,27419354119,550370024.9,18.4,23.83205539,7.75,67.5,23.66775629,47187344.15,,,,
1994,6.65892407,10.24793556,4.337109738,31.3737425,5.72,32361214431,33349501148,973271468.7,22.4,23.6473414,7.645,67.1,23.35888821,-988286716.3,,,,
1995,7.574491838,10.22488616,5.864178109,32.42707667,5.13,39068855118,43318425768,2143628110,13.5,22.5107747,7.608,66.7,25.1369225,-4249570650,,,,
1996,7.549522249,8.977152338,7.7929943,35.43317333,4.71,40803004618,45357266003,2426057022,16.6,23.40244204,7.558,66.3,24.52478712,-4554261385,,,,
1997,4.04982085,7.164252115,6.909578995,36.31328583,4.77,44459225643,49607467421,3577330042,17,23.55532535,7.61,65.9,25.35005215,-5148241779,,3658.97998,,
1998,6.184415822,13.23083898,5.121276329,41.259365,6.29,46426465025,53431564328,2634651658,18,23.67774686,7.639,65.5,25.45876778,-7005099303,,3055.409912,,
1999,8.845755559,4.66982038,9.191247322,43.05542833,5.4,52544483403,61314704757,2168591054,14.6,25.42286221,7.617,65.1,27.53509242,-8770221354,,5005.819824,,
2000,3.840991157,4.00943591,8.342610831,44.941605,5.74,60878472821,65124245375,3584217307,15.3,28.33955116,7.624,64.7,26.02178485,-4245772554,,3972.120117,102.1308833,
